,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Waterbody,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River
Rhyacophila grandis,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.672,0,0,0,0,0,0,0
Rhyacophila narvae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,2.392,17.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.47,0,0,0,0,0,0,0,0,0,0,0
Rhyacophila verrula,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.523,0,0.986,0.9435,0,0,0,0,0,0,0,0,0
Dytiscidae,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,0,0,0,0,0,0,0,0,0,0,15.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydroporinae,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,0,0,0,0,0,0,0,0,3.38,0,0,0,44.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ampumixis dispar,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,0,0.07153,0.1776,0,0,0,1.109,0,0,5.945,2.341,0,10.89,24.36,0,79.84,18.27,34.31,0,9.745,0,0.4413,0,0.341,0,0.1269,0,0,0.2503,0,0.2787
Cleptelmis addenda,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,0,0,0,0,0,0,0,0,0,0,0.2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleptelmis addenda,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,0,0.1637,0,0,0,0,0.03971,0,5.135,2.339,8.042,1.046,0,12.18,0,0,0,19.85,0,0,0,4.954,0,2.451,0.1742,0.9334,0,0.2177,0,0,0
Narpus concolor,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,1.712,0.3068,0,0.4566,0,0,0,0,0,29.27,13.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optioservus,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,0,0,0,5.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atherix,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Athericidae,higher flies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.982,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,17.3,4.238,13.37,0,15.87,0,0,0,2.698,3.607,2.023,0.425,7.789,0,0,0,0,0,0,0,0,0,0,1.33,2.356,0,2.037,0,0,0,0.6807
Chelifera/Metachela,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,2.125,0.3943,0,0,2.947,0,0,0,3.107,4.001,0,0,0,0,0.6055,0,2.125,0,0,0,0,0,0,1.158,0,2.759,0,0,0,0,0
Clinocera,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,0,0.09486,7.802,0.6055,8.273,0,0,0,14.44,6.1,0,10.91,25.31,0,0,0,0,0,0,0,0,0,0,1.417,0,0,0,1.473,0,0,0
Hemerodromia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5716,0,0,0.425,0,0,0,0
Neoplasta,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,4.42,0,2.093,1.965,6.618,0,0.2957,0,4.677,0,1.039,2.448,1.428,15.49,9.928,43.73,12.22,19.38,0,2.39,0,1.06,1.745,0.3802,0.5667,0,1.193,1.217,0,0.5995,4.289
Wiedemannia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,0,1.555,0,0,5.201,0,0,0,0,0,0,0,0,32.97,13.31,42.15,23.4,12.48,1.572,14.04,0.2833,11.77,12.76,0,0,0,0,0,0,0,0
Glutops,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Pelecorhynchidae,higher flies,0,0,0,0,0,0,0,0,5.671,0,0,0,4.884,0,0,0,16.44,0,0,0,0,0,0,0,0,4.507,4.446,0,0,0,0
Pericomaini,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Psychodidae,moth flies,0,0,0,0,0,0,0,0,0,1.625,0,0,0,0,0,0,0,5.971,0,0,0,0,0,1.356,0,0,0,0,0,0,0
Bittacomorpha,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ptychopteridae,phantom crane flies,0,0,0,0,0,0,0,0,0,0,87.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,29.09,0,1.312,20.46,13.72,0.5701,1.303,2.118,0,0,15.17,3.649,0.4137,0,0,0,10.57,2.805,0,0,0,0,0,0.07029,0.1749,6.674,0,0,1.449,2.784,8.209
Tabanidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tabanidae,horse & deer flies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.87,0,0,0,0,0
Antocha,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,3.094,0,2.001,0,0,0,0.0921,0,0,0,0,0,0.4772,0,6.283,8.673,8.069,0.6495,14.09,19.43,1.87,6.142,2.352,0,0,0,0,0,0,0,0.6106
Dicranomyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,0,0,0,0,0,0,0.1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicranota,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,0,0,0,0,0,0,0,0.3623,0,0,0.3813,0,1.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04412,0
Hexatoma,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,0,0,8.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tipula,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,0,0,0,0,0,0,0,0,0,129.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.59,0,0,0,0,0
Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2.293,0.07521,6.016,0,0.08322,0,0,0,1.182,2.201,1.159,0.09861,13.59,0,0,0,0.1248,0.212,0.1885,0,0,0.08443,0,0.4509,0.3189,0.2549,1.243,0,0,0,0.3267
Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,0,0,0,0,0,0,0,0,0,0,0,0.6214,3.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alotanypus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,0,0,0,0,0,0,0,0,0,0,113.4,11.72,121.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0
Brillia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,8.564,0,0,0,0.6872,0.6025,0.1316,0.3269,7.355,14.92,13.32,0.3465,15.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4859,0.06872,0.4165,0.6219
Chaetocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1566,0
Chironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,0,0,0,0,0,0,0,0,0,0,52.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladotanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,0.7951,0.6975,2.915,2.12,0.8834,0,0,0,0.5943,1.815,0.1593,0.113,1.068,0.53,0.424,0,0,0.636,0,0.1413,0,0.04709,0,0.4333,0.1767,0.05892,0.053,0,0.01767,0,0
Corynoneura,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,0,0,0,0,0,0,0,0,0.07429,0.05771,0.05311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cricotopus (Nostococladius),L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,0,0.192,0,4.326,0.5105,0,0,0,0,0,0,0.0353,0,4.496,5.694,36.3,14.36,5.672,3.112,1.684,1.173,1.615,1.191,0,0,0,0,0,0.03168,0,0
Cryptochironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1532,0,0,0,0
Eukiefferiella brehmi group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,0,0,0,1.649,1.084,0,0,0,0,0,0,0,0,1.198,0.6126,3.481,0.7951,1.437,0.2724,0,0,0.4249,0.4084,0.1873,0,0.05892,0.6503,0,0,0.03436,0.1131
Eukiefferiella claripennis group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,0,0,0,0,0,0,0.05329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukiefferiella devonica group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,0.265,0,0,0.212,0,0,0,0,0.4557,0,0,0,0,0.1767,2.898,2.365,2.062,0.8481,0.5551,0.6911,0.2081,0.04709,0.4162,0,0,0,0,0,0,0,0
Eukiefferiella pseudomontana group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,0,0.03322,0,0,0,0,0,0,0,0,0,0,0,0,2.663,2.722,0,1.437,0,0,0,0.2889,0,0,0,0,0,0,0,0,0
Heterotrissocladius marcidus group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,0,0,0,0,0,0,0,0,2.951,0.6349,5.518,0.6214,51.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0,0,0
Krenosmittia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,4.017,0.09598,0.7658,0,1.084,0,0,0.1131,1.126,0.8543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1703,0.3063,0.1276,0,0,0
Limnophyes,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,0,0,0,0,0,0,0,0,0,0,0.3069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1276,0,0.008834,0
Macropelopia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,0,0,0,0,0,0,0,0,19.72,7.954,0,16.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.995,0,0,0,0
Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,0,0.2997,1.626,0,0,0.05329,0,0,0,0.05771,1.322,0.1632,2.541,0.5105,9.229,8.55,7.456,0,0,0,0,0,0.2042,1.722,0.3887,0.3405,0.5831,2.209,0,0,1.077
Microtendipes pedellus group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,0,0,0,0,0,0,0,0,0,0,0,1.499,0,3.132,0,0,0,0,0,0,0.6264,0,0,0,0,0,0,0,0,0,0
Microtendipes rydalensis group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05654
Odontomesa,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Prodiamesinae,midges,0,0,0,0,0,0,0,0,0,0,0,0.6214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,1.826,1.285,8.7,6.743,4.245,0,0.125,0,2.64,3.52,1.223,0.3465,3.57,7.595,22.19,14.81,4.153,12.41,8.889,55.82,9.115,6.864,11.56,7.162,0.3189,0,11.08,1.515,0.1084,0.2566,8.887
Orthocladius (Symposiocladius),L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,0,0,0,0,0,0.4893,0,0,0,0,0,0,0,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3132,0.8451,12.54
Pagastia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Diamesinae,midges,0.7658,1.534,0,1.301,1.594,0,0,0,0.9115,3.021,0,0.5097,0.3561,0,8.692,8.278,2.915,0.6126,1.037,3.751,0,0,0,0.6389,0,0.4204,2.726,0.9405,0.6279,0,3.957
Paracladopelma,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,0,0,0,0,0,0,0,0,1.971,0,0,0,0.3561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paramerina,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,0,0,0,0,0,0,0,0,0,0,0,0,17.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parametriocnemus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,15.07,3.751,30.45,18.27,9.942,0.6429,0.5298,0,38.26,69.2,14.14,19.13,95.22,0,4.665,4.417,22.84,3.758,0,0,0,0.518,0,6.948,4.343,16.97,9.036,4.266,1.038,0.02553,13.21
Phaenopsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,0,0,0,0,0,0,0,0,0,0,0,13.31,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,7.032,1.446,2.915,5.07,2.454,0,0,0,0.4557,1.739,15.88,42.57,20.83,0,0,0,0,0,0,0,0,0,0,0,0,0,4.279,0.271,0,0,0
Potthastia longimana group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Diamesinae,midges,0,0.7926,2.915,0,0,0,0,0,1.971,1.023,0,2.283,0,1.944,0,0,0,0,0.09426,0,0,1.669,0.7774,0,0,0,0.9396,0,0,0,0
Procladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,0,0,0,0,0,0,0,0,0,0,0,2.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prodiamesa,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Prodiamesinae,midges,0,0,0,0,0,0,0,0,0,0,0,0.6214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudodiamesa,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Diamesinae,midges,0,0,0,0,0,0,0,0,0,9.395,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheocricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,0,0.3654,3.252,0,1.084,0,0.2263,0,2.52,0.3541,1.063,0.1632,8.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0,0,0.1634
Rheotanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,0,0,0,0,0,0,0.01844,0,0,0,0,0,0,0,0,0.4015,0,0,0,0,0,0,0,0,0.03534,0.1178,0,0,0.3083,0.06872,0.1131
Stempellina,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,0,0.2038,0,0.212,0,0,0,0,0,0.6671,0,0,0,0,0.6126,0,0,0.6126,0,0,0,0,0,0,0,0,0,0,0,0,0
Stempellinella,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,0,0,0,0,0,0,0,0,0,0.05771,0,0.113,0,0,0,0,0,0,0,0.1413,0,0,0,0,0,0,0,0,0,0,0
Stenochironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8535,0,0,0,0,0,0,0
Synorthocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,1.626,0.03322,4.813,0,1.084,0,0.05329,0,0,0,0.1535,0,0,0,0,0,0,0,0,0.4084,0,0,0,0,0,0,0,0.1276,0,0,0
Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,0,0,0.265,0,0,0,0,0,4.222,1.343,2.348,0.6529,7.882,0,0,0,0,0,0,0,0,0,0,0,0,0,1.729,0,0,0,0
Thienemanniella,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,1.031,0.03322,0.53,0.212,0,0,0,0,0,0,0.05311,0.05648,0,0,0.6126,0,0,0,0,0,0,0,0,0.1391,0,0,0,0.08834,0.06872,0,0
Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,9.481,6.094,75.33,22.05,29.64,0.1664,0.125,0,39.26,39.65,17.89,24.12,71.26,18.88,31.02,47.23,10.19,53.17,6.944,22.82,4.814,13.1,8.619,8.943,4.096,4.405,18.55,11.86,0.2168,0.1857,1.195
Tvetenia bavarica group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,0,0,0,1.225,0,0.1131,0.05329,0,0,0,0,0,0,0.5105,0,1.16,0.7658,1.301,0,0.8671,0,0,0,0,0,1.484,0,0,0.2855,0,2.264
