"Treatment","Substrate","Date","Replicate","Taxon","Stage","Insect","Origin","Higher.classification","Order","Family","Common.name","Biomass","Season"
"Disturbed","Benthic",2019-07-10,5,"Attenella margarita","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",3.116977627,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Ephemerella tibialis","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",15.82116407,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Serratella micheneri","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",17.45911522,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Timpanoga hecuba","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",3.000278634,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Epeorus albertae group","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Heptageniidae","mayflies",19.27902132,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Neoleptophlebia/Paraleptophlebia","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Leptophlebiidae","mayflies",15.70260987,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Chironomidae","P","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae","midges",3.303541674,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Phaenopsectra","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",257.1756341,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Polypedilum","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",42.59312459,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Micropsectra","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",3.180407914,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Paratanytarsus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",15.23780151,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Tanytarsus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",5.257653997,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Diamesa","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges",2.363363718,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Pagastia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges",28.52820599,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Potthastia gaedii group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges",1.318005007,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Potthastia longimana group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges",6.368053672,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Brillia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",2.363363718,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Corynoneura","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.42968635,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Eukiefferiella pseudomontana group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.620800969,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Heterotrissocladius marcidus group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",2.363363718,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Nanocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.214843175,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Orthocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",4.092455127,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Parakiefferiella","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.214843175,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Parametriocnemus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",4.726727436,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Psectrocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",10.89853788,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Rheocricotopus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",1.318005007,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Synorthocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.620800969,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Tvetenia bavarica group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",8.667271116,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Pentaneura","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",3.808446726,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Thienemannimyia complex","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",33.7831949,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Trombidiformes","U","non-insect","Aquatic","Arachnida: Acari","Trombidiformes","x","mites",0.07526569,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Lebertia","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",1.696,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Ampumixis dispar","A","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",4.284224148,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Ampumixis dispar","L","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",9.294251987,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Cleptelmis addenda","L","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0.82792499,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Nemata","U","non-insect","Aquatic","Nemata","miscellaneous non-insect","x","round worms",39.55010514,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Ostracoda","U","non-insect","Aquatic","Crustacea: Ostracoda","x","x","seed shrimp",0.162072,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Oligochaeta","U","non-insect","Aquatic","Annelida: Oligochaeta","miscellaneous non-insect","x","segmented worms",21.54182213,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Capniidae","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Capniidae","stoneflies",0.110772478,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Chloroperlidae","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Chloroperlidae","stoneflies",4.539883994,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Suwallini","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Chloroperlidae","stoneflies",10.42438409,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Malenka","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies",10.43536404,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Hesperoperla pacifica","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlidae","stoneflies",470.3138555,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Skwala","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlodidae","stoneflies",24.27877402,"Summer19"
"Disturbed","Benthic",2019-07-10,5,"Chydoridae","U","non-insect","Aquatic","Crustacea: Cladocera","x","Chydoridae","water fleas",0.271771038,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Caecidotea","U","non-insect","Aquatic","Crustacea: Isopoda","x","Asellidae","aquatic sow bugs",7.346760324,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Simulium","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies",2.397709492,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Dicosmoecus gilvipes","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies",50.37534538,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Onocosmoecus unicolor","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies",119.6246967,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Chelifera/Metachela","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies",10.34181677,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Clinocera","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies",5.249283853,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Empididae","P","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies",5.170908385,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Tabanidae","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Tabanidae","horse & deer flies",0.537072069,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Baetis alius","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",154.4769789,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Baetis tricaudatus complex","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",21.58916179,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Attenella margarita","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",3.050218224,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Drunella grandis/spinifera","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",0.838874169,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Ephemerella tibialis","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",78.53203136,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Matriella teresa","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",30.88333315,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Timpanoga hecuba","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",0.850341045,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Epeorus albertae group","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Heptageniidae","mayflies",66.30764067,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Neoleptophlebia/Paraleptophlebia","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Leptophlebiidae","mayflies",1.10152591,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Chironomidae","P","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae","midges",2.767586866,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Paracladopelma","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",3.090253546,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Phaenopsectra","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",22.99088499,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Polypedilum","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",4.713729765,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Paratanytarsus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",3.324577108,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Pagastia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges",12.02199087,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Brillia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",1.826048358,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Corynoneura","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",1.108173018,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Eukiefferiella claripennis group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.861689129,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Heterotrissocladius marcidus group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",3.26850503,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Nanocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.811738109,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Orthocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",1.283071507,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Orthocladius (Symposiocladius)","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.861689129,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Parametriocnemus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",2.406815901,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Rheocricotopus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",1.763937012,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Tvetenia bavarica group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",4.364517721,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Nilotanypus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",0.405869055,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Pentaneura","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",16.76943597,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Thienemannimyia complex","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",27.07021034,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Trombidiformes","U","non-insect","Aquatic","Arachnida: Acari","Trombidiformes","x","mites",0.53,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Lebertia","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",2.12,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Sperchon","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0.53,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Ceratopogoninae","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Ceratopogonidae","no-see-um midges",7.294277612,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Musculium","U","non-insect","Aquatic","Mollusca: Bivalvia","x","Sphaeriidae","pea clams",2.02067026,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Pisidium","U","non-insect","Aquatic","Mollusca: Bivalvia","x","Sphaeriidae","pea clams",34.14185095,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Ampumixis dispar","L","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",7.613184631,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Cleptelmis addenda","L","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",1.034906238,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Nemata","U","non-insect","Aquatic","Nemata","miscellaneous non-insect","x","round worms",63.43294195,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Oligochaeta","U","non-insect","Aquatic","Annelida: Oligochaeta","miscellaneous non-insect","x","segmented worms",100.8036841,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Menetus","U","non-insect","Aquatic","Mollusca: Gastropoda","x","Planorbidae","snails",407.6102441,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Capniidae","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Capniidae","stoneflies",0.830793588,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Chloroperlidae","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Chloroperlidae","stoneflies",4.133387668,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Malenka","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies",51.11200518,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Zapada cinctipes","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies",0.858068756,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Zapada oregonensis group","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies",0.171613751,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Hesperoperla pacifica","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlidae","stoneflies",2.769073448,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Isoperla","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlodidae","stoneflies",0.595796988,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,5,"Skwala","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlodidae","stoneflies",24.17728752,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Simulium","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies",12.50228169,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Glossosoma","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Glossosomatidae","caddisflies",6.441114277,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Arctopsyche","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies",9.160192702,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Hydropsyche","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies",239.5631719,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Hydropsyche","P","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies",62.06943817,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Ochrotrichia","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydroptilidae","caddisflies",3.781019344,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Dicosmoecus gilvipes","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies",137.5867506,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Onocosmoecus unicolor","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies",581.6945514,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Rhyacophila angelita group","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies",75.18386839,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Rhyacophila arnaudi","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies",8.574341724,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Rhyacophila betteni group","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies",19.75141966,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Pacifastacus","U","non-insect","Aquatic","Crustacea: Decapoda","x","Astacidae","crayfish",96.27610678,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Clinocera","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies",2.097543535,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Polycelis","U","non-insect","Aquatic","Turbellaria","miscellaneous non-insect","Planariidae","flat worms",1.420145086,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Baetis alius","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",230.1187293,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Baetis tricaudatus complex","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",290.9385378,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Attenella margarita","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",68.11049474,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Drunella grandis/spinifera","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",0.33453177,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Ephemerella excrucians group","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",38.90887472,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Ephemerella tibialis","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",33.95941458,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Matriella teresa","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",15.82116407,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Serratella micheneri","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",102.2794692,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Cinygmula","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Heptageniidae","mayflies",1.165682687,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Epeorus","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Heptageniidae","mayflies",89.76958502,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Heptagenia","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Heptageniidae","mayflies",3.56070237,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Neoleptophlebia/Paraleptophlebia","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Leptophlebiidae","mayflies",1.438022002,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Chironomidae","P","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae","midges",2.437047835,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Polypedilum","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",0.696103718,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Micropsectra","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",22.13945939,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Rheotanytarsus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",0.240903511,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Cricotopus (Nostococladius)","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",2.196571393,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Eukiefferiella devonica group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",1.874014458,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Nanocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",1.392207437,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Orthocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",11.46874136,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Rheocricotopus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",6.477987104,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Synorthocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.240903511,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Tvetenia bavarica group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",5.911512587,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Nilotanypus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",0.696103718,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Pentaneura","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",2.955756294,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Thienemannimyia complex","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",42.04844746,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Trombidiformes","U","non-insect","Aquatic","Arachnida: Acari","Trombidiformes","x","mites",3.40703346,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Atractides","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0.848,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Lebertia","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",5.69012552,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Oribatida","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",1.35478242,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Sperchon","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0.99853138,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Torrenticola","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",4.9926569,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Pisidium","U","non-insect","Aquatic","Mollusca: Bivalvia","x","Sphaeriidae","pea clams",0.2608,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Ampumixis dispar","L","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",33.086953,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Cleptelmis addenda","L","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",7.16125797,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Nemata","U","non-insect","Aquatic","Nemata","miscellaneous non-insect","x","round worms",43.19597438,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Ostracoda","U","non-insect","Aquatic","Crustacea: Ostracoda","x","x","seed shrimp",0.648288,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Oligochaeta","U","non-insect","Aquatic","Annelida: Oligochaeta","miscellaneous non-insect","x","segmented worms",24.65240908,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Menetus","U","non-insect","Aquatic","Mollusca: Gastropoda","x","Planorbidae","snails",24.92202942,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Juga","U","non-insect","Aquatic","Mollusca: Gastropoda","x","Pleuroceridae","snails",444.855189,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Chloroperlidae","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Chloroperlidae","stoneflies",71.33482886,"Summer19"
"Phase 3","Benthic",2019-07-12,5,"Malenka","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies",26.50570594,"Summer19"
