Waterbody,Treatment,Substrate,Date,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Length,Abundance,Biomass
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,5,179.2,97.08511232
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Ironodes,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,1,25.6,0.27648
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,1,307.2,2.97984
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,2,102.4,6.290925895
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Arctopsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,8,25.6,51.69387626
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Arctopsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,12,51.2,338.6196205
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Glossosoma,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,1.5,25.6,0.696517066
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Glossosoma,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,3,25.6,5.412257976
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Lepidostoma,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Lepidostomatidae,caddisflies,1,25.6,0.20224
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Micrasema,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,3,25.6,6.54305791
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,2,563.2,19.68947994
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,3,204.8,23.45009332
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,4,102.4,27.20729233
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,2,25.6,0.41273498
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,3,25.6,1.399207289
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,4,51.2,6.654303279
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,5,25.6,6.514313335
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,3,102.4,23.96443772
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,4,76.8,41.14595338
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Perlodidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,1.5,25.6,1.52524029
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Perlodidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,2.5,25.6,6.189385604
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Skwala,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,3,25.6,10.20381362
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Skwala,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,4,76.8,67.36988214
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Skwala,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,5,25.6,41.40681143
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Sweltsa,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,3,25.6,3.317658038
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Sweltsa,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,4,51.2,14.52762878
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Sweltsa,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,5,25.6,13.33974764
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Isoperla,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,1.5,51.2,3.050480581
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Malenka,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,3,25.6,2.980141586
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Malenka,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,3.5,76.8,13.68564233
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Zapada cinctipes,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,1.5,25.6,0.439331203
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Zapada cinctipes,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,2,51.2,1.944924898
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Cricotopus (Nostococladius),L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,1.5,25.6,0.133150651
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Clinocera,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,3,25.6,2.26664987
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Clinocera,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,4,25.6,4.714964889
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Antocha,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,1,25.6,0.07424
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Antocha,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,3,25.6,1.41188735
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Antocha,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,4,76.8,9.159716975
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,25.6,0.282688388
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2.5,51.2,1.01379809
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3.5,51.2,2.445504905
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,3,358.4,11.43580733
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,4,51.2,3.468434228
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,5,25.6,3.109689103
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,7,25.6,7.501256932
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Zavrelimyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,4,25.6,1.734217114
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Diamesa,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Diamesinae,midges,3,230.4,7.351590425
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Diamesa,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Diamesinae,midges,5,25.6,3.109689103
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Diamesa,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Diamesinae,midges,6,25.6,5.011114114
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Diamesa,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Diamesinae,midges,7,25.6,7.501256932
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Rheocricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,3,51.2,1.633686761
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Rheocricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,4,51.2,3.468434228
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Cricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,3,25.6,0.816843381
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Cricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,4,51.2,3.468434228
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Cricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,5,25.6,3.109689103
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Orthocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,179.2,1.978818715
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Orthocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,3,256,8.168433806
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Orthocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,4,76.8,5.202651342
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Orthocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,5,76.8,9.329067308
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,2,25.6,0.282688388
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,3,51.2,1.633686761
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,4,25.6,1.734217114
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,5,51.2,6.219378206
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Pagastia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Diamesinae,midges,4,25.6,1.734217114
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Eukiefferiella devonica group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,25.6,0.282688388
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Tvetenia bavarica group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,25.6,0.282688388
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Parametriocnemus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,5,25.6,3.109689103
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,2,332.8,3.674949042
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,3,1177.6,37.57479551
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,4,256,17.34217114
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,5,230.4,27.98720193
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Narpus concolor,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,9,0.8,3.308155317
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Juga,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Pleuroceridae,snails,22,1.6,388.7980164
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Dicosmoecus gilvipes,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,25,0.8,40.30027631
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Dicosmoecus gilvipes,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,29,0.8,62.28210841
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,20,0.8,44.09512104
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,23,0.8,65.93858474
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,26,0.8,93.84982138
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Pteronarcys californica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Pteronarcyidae,stoneflies,34,0.8,226.0113507
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Pteronarcys californica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Pteronarcyidae,stoneflies,47,0.8,519.9274963
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Rhyacophila brunnea/vemna group,P,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,10,0.8,2.391801763
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Torrenticola,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0.5,192,1.80637656
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,7,96,30.71234575
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Lebertia,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0.5,48,0.45159414
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,1,192,1.296576
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Trombidiformes,U,non-insect,Aquatic,Arachnida: Acari,Trombidiformes,x,mites,0.5,48,0.45159414
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Heterlimnius corpulentus,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,6,48,61.76897675
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Ampumixis dispar,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,5,48,36.54328623
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Epeorus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,1,336,3.6288
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,2,48,1.451796228
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,3,96,8.62813201
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,2.5,48,2.643662183
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,1,48,0.2544
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,1.5,96,1.632335675
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,48,5.987433657
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Ironodes,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,1.5,48,1.583508213
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Ironodes,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,4,48,23.59055775
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Caudatella,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,2,48,3.1596191
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Micrasema,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,1.5,48,2.308339837
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Micrasema,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,2,48,4.617448941
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Lepidostoma (Neodinarthrum),L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Lepidostomatidae,caddisflies,2,48,2.378465121
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Glossosoma,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,6,48,78.8545011
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,2,96,3.356161353
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,3,1344,153.8912374
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,4,1152,306.0820387
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,5,1056,539.0238511
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,6,480,417.7049556
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Simulium,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,3,432,23.611623
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Simulium,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,4,96,12.47681865
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,2,672,10.83429323
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,3,912,49.84675968
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,4,672,87.33773053
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,5,864,219.858075
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,6,816,359.5287041
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,7,480,336.4042172
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,8,48,50.28925291
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Pteronarcys californica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Pteronarcyidae,stoneflies,10,48,581.8167869
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,16,48,1391.675117
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,2.5,48,6.645776274
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Sweltsa,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,5,144,75.03608048
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Sweltsa,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,6,48,41.0996951
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Acentrella,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2,48,3.10633863
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,1,432,2.2896
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2,2208,85.84918492
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,2448,305.3591165
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,4,912,260.1316424
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,5,768,416.0790528
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,6,48,43.92400697
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,5,96,52.0098816
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,1,144,1.3968
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,1.5,288,8.224229953
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,2,288,17.69322908
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,2.5,336,37.39600892
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,3,48,8.681342149
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,4.5,48,25.55747213
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Clinocera,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,5,48,15.60316238
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Wiedemannia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,3,48,4.249968506
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Chelifera/Metachela,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,2,48,1.513761189
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Chelifera/Metachela,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,3,48,4.249968506
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Neoplasta,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,2.5,48,2.671715803
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Cricotopus (Nostococladius),L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2.5,48,0.95043571
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Cricotopus (Nostococladius),L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,96,1.060081454
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Cricotopus (Nostococladius),L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,3,288,9.189488031
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-09-19,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,48,0.530040727
